word,category,language,video_url,image_url
a,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-591-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-591-3.jpg
b,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-592-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-592-1.jpg
c,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-593-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-593-1.jpg
d,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-594-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-594-1.jpg
e,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-595-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-595-1.jpg
f,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-596-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-596-1.jpg
g,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-597-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-597-1.jpg
h,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-598-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-598-1.jpg
i,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-599-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-599-1.jpg
j,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-600-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-600-1.jpg
k,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-601-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-601-1.jpg
l,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-602-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-602-1.jpg
m,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-603-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-603-1.jpg
n,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-604-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-604-1.jpg
o,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-605-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-605-1.jpg
p,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-606-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-606-1.jpg
q,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-607-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-607-1.jpg
r,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-608-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-608-1.jpg
s,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-609-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-609-1.jpg
t,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-610-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-610-1.jpg
u,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-611-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-611-1.jpg
v,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-612-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-612-1.jpg
w,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-613-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-613-1.jpg
x,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-614-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-614-1.jpg
y,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-615-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-615-1.jpg
z,alphabet,ASL,https://media.spreadthesign.com/video/mp4/13/alphabet-letter-616-1.mp4,https://media.spreadthesign.com/image/500/alphabet-letter-616-1.jpg
1,number,ASL,https://media.spreadthesign.com/video/mp4/13/243888.mp4,
2,number,ASL,https://media.spreadthesign.com/video/mp4/13/51463.mp4,
3,number,ASL,https://media.spreadthesign.com/video/mp4/13/51474.mp4,
4,number,ASL,https://media.spreadthesign.com/video/mp4/13/51475.mp4,
5,number,ASL,https://media.spreadthesign.com/video/mp4/13/51477.mp4,
6,number,ASL,https://media.spreadthesign.com/video/mp4/13/51480.mp4,
7,number,ASL,https://media.spreadthesign.com/video/mp4/13/51490.mp4,
8,number,ASL,https://media.spreadthesign.com/video/mp4/13/51493.mp4,
9,number,ASL,https://media.spreadthesign.com/video/mp4/13/51494.mp4,
10,number,ASL,https://media.spreadthesign.com/video/mp4/13/243891.mp4,
